 * Serving Flask app 'Yujin-backend' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses (0.0.0.0)
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://127.0.0.1:9876
 * Running on http://10.178.0.2:9876 (Press CTRL+C to quit)
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images/guestbook.png HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images/BDDJ.png HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images/welogo.png HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images/linkcopy_icon.png HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images/git.png HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images/jabcho.png HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /api/readall HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images/cover.jpg HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images_gallery/1-1.jpg HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images_gallery/1-2.jpg HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images_gallery/2-1.jpg HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images_gallery/2-2.jpg HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images_gallery/3-1.png HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images_gallery/3-2.jpg HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:52] "GET /images_gallery/3-3.jpg HTTP/1.1" 200 -
39.117.85.253 - - [01/Jun/2022 12:05:53] "GET /images/del_icon.png HTTP/1.1" 200 -
